date_time,pressure
9/10/2016 2:00,158.5
9/10/2016 6:00,157.8999939
9/10/2016 9:00,158.5
9/10/2016 12:00,160.8000031
9/10/2016 15:00,163.6000061
9/10/2016 18:00,159.6000061
9/10/2016 22:00,157.8999939
9/11/2016 1:00,157.3000031
9/11/2016 2:00,160.1999969
9/11/2016 5:00,157.3000031
9/11/2016 8:00,159.0
9/11/2016 11:00,161.3000031
9/11/2016 14:00,161.3000031
9/11/2016 18:00,160.8000031
9/11/2016 21:00,157.8999939
9/12/2016 0:00,157.3000031
9/12/2016 3:00,156.8000031
9/12/2016 6:00,156.8000031
9/12/2016 10:00,158.5
9/12/2016 13:00,158.5
9/12/2016 16:00,160.8000031
9/12/2016 19:00,159.0
9/12/2016 22:00,157.3000031
9/13/2016 2:00,157.3000031
9/13/2016 5:00,157.3000031
9/13/2016 8:00,158.5
9/13/2016 11:00,159.6000061
9/13/2016 14:00,157.3000031
9/13/2016 17:00,158.5
9/13/2016 21:00,157.8999939
9/14/2016 0:00,157.3000031
9/14/2016 3:00,157.3000031
9/14/2016 6:00,156.8000031
9/14/2016 9:00,156.1999969
9/14/2016 13:00,160.1999969
9/14/2016 16:00,160.1999969
9/14/2016 17:00,160.8000031
9/14/2016 20:00,157.3000031
9/14/2016 23:00,156.8000031
9/15/2016 3:00,157.8999939
9/15/2016 6:00,156.8000031
9/15/2016 9:00,159.6000061
9/15/2016 12:00,160.8000031
9/15/2016 15:00,160.8000031
9/15/2016 19:00,159.6000061
9/15/2016 22:00,157.3000031
9/16/2016 1:00,156.8000031
9/16/2016 4:00,156.8000031
9/16/2016 7:00,156.8000031
9/16/2016 10:00,159.6000061
9/16/2016 14:00,157.3000031
9/16/2016 17:00,160.1999969
9/16/2016 20:00,157.8999939
9/16/2016 23:00,156.1999969
9/17/2016 2:00,155.6000061
9/17/2016 6:00,156.1999969
9/17/2016 9:00,153.3000031
9/17/2016 12:00,155.0
9/17/2016 15:00,159.0
9/17/2016 18:00,159.6000061
9/17/2016 22:00,156.1999969
9/18/2016 1:00,156.1999969
9/18/2016 4:00,155.6000061
9/18/2016 7:00,155.0
9/18/2016 10:00,153.8999939
9/18/2016 14:00,146.5
9/18/2016 17:00,161.3000031
9/18/2016 20:00,156.8000031
9/18/2016 23:00,155.6000061
9/19/2016 2:00,156.1999969
9/19/2016 5:00,155.6000061
9/19/2016 9:00,156.1999969
9/19/2016 10:00,155.6000061
9/19/2016 13:00,154.5
9/19/2016 16:00,161.3000031
9/19/2016 19:00,157.8999939
9/19/2016 21:00,159.0
9/20/2016 0:00,156.1999969
9/20/2016 3:00,156.1999969
9/20/2016 6:00,154.5
9/20/2016 9:00,151.0
